Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
350,0,"[-6.56456757e+01  1.02044668e+01 -1.13284248e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.91937869e-02  2.23603958e+02
 -9.82827041e-04  1.47377612e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34846839e+00 -7.61027583e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.75863551e-01 -3.82430928e-01]",111,0.610882,0.610882,"[0, 0.161516, 0, 0.610882, 0.395433, 0.161881, 0, 0, 0, 0, 0, 0]",A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,False
350,1,"[-7.06865387e+01  1.02044821e+01 -1.18681900e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.87883244e-02  2.22792694e+02
 -5.19482070e-04  1.09629479e+00  1.00000000e+00  4.91909702e+01
  5.58788215e+00  1.34846985e+00 -7.46870081e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.73638230e+01
  0.00000000e+00  1.00000000e+02  8.21564723e-01  5.63081850e-02]",103,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow SUV is overtaking (near) the ego vehicle and switching lane.,False
350,2,"[-7.60008850e+01  1.02044687e+01 -1.24539688e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.97151005e-02  2.21940445e+02
 -6.20915671e-04  1.18590950e+00  2.00000000e+00  9.03079267e+00
  1.30366195e+00  1.34852823e+00 -7.31998025e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.33438118e+01
  0.00000000e+00  1.00000000e+02  8.06213084e-01  2.32811527e-02]",12,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Evening,False
350,3,"[-8.12459564e+01  1.02044678e+01 -1.30496613e+02  0.00000000e+00
  2.00000000e+01  1.00000000e+00 -5.63429529e-03  2.21083405e+02
 -7.81819283e-04  1.26686334e+00  2.00000000e+00  8.94656016e+00
  1.18332795e+00  1.34867688e+00 -7.17039810e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.99644284e-01 -2.91636372e-02]",71,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SchoolBus is crossing the road from right to left (near) and maintaining lane.,False
350,4,"[-8.64289246e+01  1.02044392e+01 -1.36564758e+02  0.00000000e+00
  2.00000000e+01  1.00000000e+00 -2.26975023e-03  2.20223541e+02
 -9.97191761e-04  1.46296561e+00  3.00000000e+00  6.76254890e+00
  4.03992635e+00  1.34866844e+00 -7.02027721e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.77031911e-01 -1.76034262e-01]",25,0.51149,0.51149,"[0.212378, 0.396202, 0.077734, 0.003567, 0.089679, 0.200031, 0.302267, 0.398184, 0.456973, 0.497057, 0.51149, 0.495871]",A white SUV is driving ahead (far) of the ego vehicle and switching lane.,False
350,5,"[-9.13306885e+01  1.02044430e+01 -1.42477966e+02  0.00000000e+00
  2.00000000e+01  1.00000000e+00  3.59987488e+02  2.19392242e+02
 -9.38863785e-04  1.34015919e+00  4.00000000e+00  2.63769368e+00
  0.00000000e+00  1.34872928e+00 -6.87520138e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.90861025e-01 -6.25691906e-02]",80,7.5,1,"[1, 0.359712, 1, 0.284301, 0.279585, 0.26755, 0.267293, 0.266477, 0.26544, 0.264435, 0.263286, 0.262163]",A pink SchoolBus is crossing the road from right to left (near) and switching lane.,False
350,6,"[-9.25032501e+01  1.02071133e+01 -1.43999252e+02  0.00000000e+00
  2.00000000e+01 -1.00000000e+00  3.59327240e+02  2.21355103e+02
  5.14833868e-01  1.18592797e-02  5.00000000e+00  3.68935619e+00
  0.00000000e+00  1.35268916e+00 -7.24120992e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.80071423e+01
  0.00000000e+00  1.00000000e+02  9.78137550e-01  9.48528902e-01]",78,0.261268,0.261268,"[0.261268, 0.26035, 0.259167, 0.258329, 0.25707, 0.256146, 0.254937, 0.254049, 0.253184, 0.25187, 0.250837, 0.249887]",A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,False
350,7,"[-9.24939270e+01  1.02050552e+01 -1.44059952e+02  0.00000000e+00
  2.00000000e+01 -1.00000000e+00  3.59505615e+02  2.22301117e+02
  3.43336582e-01  1.05902582e-02  6.00000000e+00  3.75071024e+00
  0.00000000e+00  1.35164955e+00 -7.39846026e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.81017149e+01
  0.00000000e+00  1.00000000e+02  9.78137550e-01  9.49163415e-01]",47,0.248633,0.248633,"[0.248633, 0.247925, 0.24714, 0.245593, 0.244387, 0.243257, 0.242272, 0.241016, 0.239876, 0.238648, 0.23748, 0.236453]",A yellow Sedan is crossing the road from right to left (far) and maintaining lane.,False
350,8,"[-9.24853363e+01  1.02029428e+01 -1.44126556e+02  0.00000000e+00
  2.00000000e+01 -1.00000000e+00  3.59612061e+02  2.23374619e+02
  2.09438846e-01  9.48783493e-03  7.00000000e+00  3.81786170e+00
  9.53674316e-05  1.35100888e+00 -7.57977680e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.81842858e+01
  0.00000000e+00  1.00000000e+02  9.78137550e-01  9.49714627e-01]",66,0.2352,0.2352,"[0.2352, 0.234031, 0.233142, 0.231793, 0.230717, 0.229561, 0.228344, 0.227081, 0.225874, 0.224823, 0.22347, 0.222158]",A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,True
351,0,"[-6.58136749e+01  1.02044621e+01 -1.13462891e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.93244179e-02  2.23571060e+02
 -1.14968128e-03  1.58336262e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34847122e+00 -7.60455360e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.63160366e-01 -4.11305069e-01]",3,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Heavy rain,False
351,1,"[-7.09534302e+01  1.02044792e+01 -1.18973206e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  2.90994104e-02  2.22751282e+02
 -4.98310372e-04  1.07939947e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34847526e+00 -7.46149571e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.00738881e+01
  0.00000000e+00  1.00000000e+02  8.23844625e-01  4.51986875e-02]",36,0.300222,0.300222,"[0, 0, 0, 0, 0, 0, 0.300222, 0, 0.125142, 0, 0, 0]",A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,False
351,2,"[-7.63088989e+01  1.02044573e+01 -1.24885696e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  6.44946890e-03  2.21889450e+02
 -6.31596544e-04  1.16183685e+00  1.00000000e+00  2.81429107e+01
  9.99927509e+00  1.34860913e+00 -7.31107874e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.60102459e+01
  0.00000000e+00  1.00000000e+02  8.12902307e-01  1.34479883e-02]",103,0.347657,0.347657,"[0, 0, 0, 0, 0, 0, 0.347657, 0, 0, 0, 0, 0]",A yellow SUV is overtaking (near) the ego vehicle and switching lane.,False
351,3,"[-8.15722733e+01  1.02044268e+01 -1.30875107e+02  1.01000000e+02
  1.00000000e+01  1.00000000e+00  3.59957733e+02  2.21029083e+02
 -1.26058201e-03  1.50741740e+00  2.00000000e+00  5.57384870e+00
  2.78398154e+00  1.34892313e+00 -7.16078161e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02  7.68870447e-01 -2.08177965e-01]",142,0.512173,0.512173,"[0.054484, 0.303827, 0, 0.512173, 0.250221, 0, 0, 0, 0, 0, 0, 0]",A pink Jeep is crossing the road from left to right (near) and switching lane.,False
